Lines,Lon,Lat,VehicleNumber,Time,Brigade
512,21.049636,52.285994,1550,2024-10-25 20:01:55,3
512,21.052144,52.252886,1833,2024-10-25 20:01:47,5
512,21.0674192,52.2903469,4413,2024-10-25 20:02:05,2
512,21.042027,52.249752,4422,2024-10-25 20:02:06,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.064468,52.273365,5457,2024-10-25 20:02:03,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.049636,52.285994,1550,2024-10-25 20:02:15,3
512,21.052144,52.252886,1833,2024-10-25 20:02:28,5
512,21.0686285,52.2913389,4413,2024-10-25 20:02:27,2
512,21.042051,52.249775,4422,2024-10-25 20:02:28,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.064863,52.273911,5457,2024-10-25 20:02:27,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.049636,52.285994,1550,2024-10-25 20:02:35,3
512,21.052151,52.252878,1833,2024-10-25 20:02:48,5
512,21.0694149,52.2910061,4413,2024-10-25 20:02:51,2
512,21.0420642,52.2497837,4422,2024-10-25 20:02:50,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.065544,52.27475,5457,2024-10-25 20:02:48,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.049636,52.285994,1550,2024-10-25 20:02:56,3
512,21.052151,52.252878,1833,2024-10-25 20:03:08,5
512,21.0701304,52.2905364,4413,2024-10-25 20:03:11,2
512,21.042294,52.24971,4422,2024-10-25 20:03:09,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.065531,52.274735,5457,2024-10-25 20:03:08,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.049614,52.286013,1550,2024-10-25 20:03:16,3
512,21.052151,52.252878,1833,2024-10-25 20:03:28,5
512,21.0719749,52.2892506,4413,2024-10-25 20:03:31,2
512,21.042583,52.24958,4422,2024-10-25 20:03:34,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.065519,52.274742,5457,2024-10-25 20:03:34,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.049614,52.286013,1550,2024-10-25 20:03:36,3
512,21.052151,52.252878,1833,2024-10-25 20:03:48,5
512,21.073981,52.2878809,4413,2024-10-25 20:03:53,2
512,21.042828,52.249496,4422,2024-10-25 20:03:53,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.066423,52.275871,5457,2024-10-25 20:03:53,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.049614,52.286013,1550,2024-10-25 20:04:16,3
512,21.052151,52.252878,1833,2024-10-25 20:04:09,5
512,21.0751516,52.2868666,4413,2024-10-25 20:04:16,2
512,21.0441506,52.2500715,4422,2024-10-25 20:04:17,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.06768,52.27737,5457,2024-10-25 20:04:19,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.049614,52.286013,1550,2024-10-25 20:04:36,3
512,21.052151,52.252878,1833,2024-10-25 20:04:29,5
512,21.0746856,52.2863231,4413,2024-10-25 20:04:41,2
512,21.0449302,52.2505439,4422,2024-10-25 20:04:41,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.067837,52.277576,5457,2024-10-25 20:04:37,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.049614,52.286013,1550,2024-10-25 20:04:57,3
512,21.052146,52.252891,1833,2024-10-25 20:04:50,5
512,21.0738526,52.2853039,4413,2024-10-25 20:05:02,2
512,21.0476584,52.2519085,4422,2024-10-25 20:05:00,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.069075,52.279209,5457,2024-10-25 20:05:03,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.049613,52.286016,1550,2024-10-25 20:05:17,3
512,21.052146,52.252891,1833,2024-10-25 20:05:10,5
512,21.0728919,52.2841402,4413,2024-10-25 20:05:14,2
512,21.0502119,52.2523809,4422,2024-10-25 20:05:20,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.069635,52.279766,5457,2024-10-25 20:05:22,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.049613,52.286016,1550,2024-10-25 20:05:17,3
512,21.052661,52.253166,1833,2024-10-25 20:05:30,5
512,21.070446,52.281166,4413,2024-10-25 20:05:41,2
512,21.050529,52.252476,4422,2024-10-25 20:05:43,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.070364,52.280479,5457,2024-10-25 20:05:45,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.049613,52.286016,1550,2024-10-25 20:05:57,3
512,21.052661,52.253166,1833,2024-10-25 20:05:30,5
512,21.069218,52.279736,4413,2024-10-25 20:06:05,2
512,21.051378,52.252735,4422,2024-10-25 20:06:04,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.070906,52.281113,5457,2024-10-25 20:06:08,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.049613,52.286016,1550,2024-10-25 20:06:17,3
512,21.054603,52.254103,1833,2024-10-25 20:06:31,5
512,21.068953,52.279346,4413,2024-10-25 20:06:27,2
512,21.052158,52.252975,4422,2024-10-25 20:06:25,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.07226,52.282875,5457,2024-10-25 20:06:29,4
